"","nicheout$RAINFALL"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0.5
"11",0
"12",0
"13",0
"14",4.5
"15",3.40000009536743
"16",0
"17",0.600000023841858
"18",0
"19",0
"20",0
"21",0.100000001490116
"22",0
"23",5.5
"24",0
"25",0
"26",0
"27",0
"28",38.2000007629395
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",27.1000003814697
"41",5
"42",0.899999976158142
"43",10.1000003814697
"44",31.2999992370605
"45",9.89999961853027
"46",3.59999990463257
"47",4
"48",25.8999996185303
"49",0.100000001490116
"50",0
"51",2.29999995231628
"52",0.200000002980232
"53",4
"54",0
"55",0
"56",2.79999995231628
"57",18.2999992370605
"58",6.30000019073486
"59",13.8000001907349
"60",0
"61",0
"62",0
"63",2.20000004768372
"64",16.2000007629395
"65",9.39999961853027
"66",26.5
"67",9.89999961853027
"68",6.19999980926514
"69",0
"70",0
"71",0
"72",6.80000019073486
"73",5.90000009536743
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",6
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",5.69999980926514
"108",5.69999980926514
"109",31.7000007629395
"110",23.7999992370605
"111",47.0999984741211
"112",3.40000009536743
"113",1.70000004768372
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0.800000011920929
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0.800000011920929
"145",0.200000002980232
"146",0.200000002980232
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",1.60000002384186
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",2.59999990463257
"282",0
"283",0
"284",0
"285",0
"286",4.19999980926514
"287",4.19999980926514
"288",3.29999995231628
"289",5.19999980926514
"290",1.29999995231628
"291",7.59999990463257
"292",1.5
"293",3.40000009536743
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0.200000002980232
"302",18.1000003814697
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",6.90000009536743
"317",8.39999961853027
"318",9.69999980926514
"319",1.20000004768372
"320",0
"321",1.5
"322",0
"323",0.400000005960464
"324",0.100000001490116
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",1.10000002384186
"333",0.100000001490116
"334",5.90000009536743
"335",0
"336",0
"337",0
"338",0
"339",1.10000002384186
"340",0
"341",1.89999997615814
"342",5.30000019073486
"343",12.3999996185303
"344",19.6000003814697
"345",29
"346",36.7999992370605
"347",25.7999992370605
"348",1.20000004768372
"349",0
"350",0
"351",0
"352",0.699999988079071
"353",5.09999990463257
"354",3.20000004768372
"355",9.19999980926514
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
